iter	Passed	Remaining
0	0	655
1	1	528
2	1	517
3	2	678
4	3	647
5	3	609
6	4	596
7	4	580
8	5	568
9	5	559
10	6	556
11	6	549
12	7	548
13	7	549
14	8	543
15	8	536
16	9	535
17	9	531
18	10	529
19	11	539
20	11	540
21	11	531
22	12	527
23	12	524
24	14	552
25	14	550
26	15	545
27	15	541
28	16	538
29	17	560
30	17	555
31	18	551
32	18	549
33	19	545
34	19	541
35	20	537
36	20	533
37	20	530
38	21	528
39	21	526
40	22	525
41	23	537
42	24	534
43	24	532
44	24	530
45	25	530
46	26	527
47	26	526
48	27	524
49	27	523
50	28	522
51	28	522
52	29	520
53	29	518
54	30	518
55	30	516
56	31	514
57	32	524
58	32	522
59	33	519
60	33	517
61	34	515
62	34	515
63	35	514
64	36	525
65	36	523
66	37	521
67	37	518
68	38	516
69	38	514
70	39	513
71	39	511
72	40	510
73	41	516
74	41	515
75	42	513
76	42	514
77	43	512
78	43	510
79	44	508
80	45	515
81	46	516
82	46	514
83	47	512
84	47	511
85	48	510
86	48	509
87	49	514
88	50	513
89	50	512
90	51	511
91	51	509
92	52	507
93	52	506
94	52	504
95	53	503
96	53	502
97	54	501
98	54	500
99	55	499
100	55	498
101	56	497
102	56	495
103	57	494
104	57	493
105	58	491
106	58	490
107	59	489
108	59	489
109	60	488
110	60	487
111	61	486
112	61	485
113	62	485
114	62	483
115	63	482
116	63	481
117	64	480
118	64	479
119	65	478
120	65	477
121	66	476
122	66	475
123	67	474
124	67	472
125	68	471
126	68	470
127	68	469
128	69	469
129	69	468
130	70	467
131	71	467
132	71	466
133	72	466
134	72	465
135	73	463
136	73	463
137	73	462
138	74	461
139	74	460
140	75	459
141	75	458
142	76	457
143	76	456
144	77	455
145	77	455
146	78	454
147	79	457
148	80	459
149	81	459
150	81	458
151	82	457
152	82	456
153	82	455
154	83	454
155	83	454
156	84	453
157	84	452
158	85	451
159	85	450
160	86	449
161	86	448
162	87	448
163	87	447
164	88	446
165	88	445
166	89	444
167	89	443
168	90	442
169	90	441
170	90	441
171	91	440
172	91	439
173	92	438
174	92	438
175	93	437
176	93	436
177	94	435
178	95	438
179	96	437
180	96	437
181	97	436
182	97	435
183	97	434
184	98	433
185	98	433
186	99	432
187	99	431
188	100	430
189	100	429
190	101	429
191	101	428
192	102	427
193	102	426
194	103	426
195	103	426
196	104	425
197	104	424
198	105	424
199	105	423
200	106	422
201	106	422
202	107	421
203	107	420
204	108	419
205	108	420
206	109	419
207	110	418
208	110	418
209	111	418
210	111	417
211	112	417
212	112	416
213	113	415
214	113	415
215	114	414
216	114	413
217	115	412
218	115	412
219	116	411
220	116	411
221	117	410
222	117	409
223	118	409
224	118	408
225	119	407
226	119	407
227	120	406
228	120	405
229	121	405
230	121	404
231	121	403
232	122	402
233	122	402
234	123	401
235	123	401
236	124	400
237	124	399
238	125	399
239	125	398
240	126	397
241	126	397
242	127	396
243	127	395
244	128	395
245	128	394
246	129	393
247	129	393
248	130	392
249	130	392
250	131	391
251	131	391
252	132	390
253	132	389
254	133	389
255	133	388
256	134	387
257	134	387
258	135	386
259	135	385
260	136	385
261	136	384
262	137	384
263	137	383
264	138	383
265	138	382
266	139	381
267	139	381
268	140	380
269	140	379
270	141	379
271	141	378
272	142	378
273	142	378
274	143	377
275	143	376
276	144	376
277	144	375
278	145	375
279	145	374
280	146	373
281	146	373
282	147	373
283	147	372
284	148	371
285	148	371
286	149	370
287	149	369
288	150	369
289	150	368
290	151	368
291	151	367
292	152	368
293	153	368
294	153	367
295	154	366
296	154	366
297	155	365
298	155	365
299	156	364
300	156	364
301	157	363
302	157	363
303	158	362
304	159	362
305	159	361
306	160	361
307	160	360
308	160	360
309	161	359
310	161	358
311	162	358
312	162	357
313	163	356
314	163	356
315	164	355
316	164	355
317	165	354
318	165	353
319	166	353
320	166	352
321	167	351
322	167	351
323	168	350
324	168	350
325	169	349
326	169	348
327	169	348
328	170	347
329	171	347
330	171	346
331	172	346
332	172	345
333	173	345
334	173	344
335	173	343
336	174	343
337	175	342
338	175	342
339	176	341
340	176	341
341	177	340
342	177	340
343	178	339
344	178	339
345	179	338
346	179	338
347	180	337
348	180	337
349	181	336
350	181	336
351	182	335
352	182	335
353	183	334
354	183	334
355	184	333
356	184	332
357	185	332
358	185	331
359	186	331
360	186	330
361	187	329
362	187	329
363	188	328
364	188	328
365	189	327
366	189	327
367	190	326
368	190	325
369	191	325
370	191	324
371	191	324
372	192	323
373	193	324
374	194	323
375	194	323
376	195	322
377	195	322
378	196	321
379	196	320
380	197	320
381	197	319
382	198	318
383	198	318
384	198	317
385	199	317
386	199	316
387	200	315
388	200	315
389	201	314
390	201	314
391	202	313
392	202	313
393	203	313
394	204	312
395	204	312
396	205	311
397	205	311
398	206	310
399	206	309
400	207	309
401	207	308
402	207	308
403	208	307
404	208	306
405	209	306
406	209	305
407	210	305
408	210	304
409	211	304
410	211	303
411	212	302
412	212	302
413	213	301
414	213	301
415	214	300
416	214	300
417	215	299
418	215	298
419	216	298
420	216	297
421	217	298
422	219	298
423	219	298
424	220	297
425	220	297
426	221	296
427	221	296
428	222	295
429	222	295
430	223	294
431	223	294
432	224	293
433	224	293
434	225	292
435	225	292
436	226	291
437	227	291
438	227	290
439	227	290
440	228	289
441	228	288
442	229	288
443	229	287
444	230	287
445	230	286
446	231	286
447	232	286
448	232	285
449	233	285
450	233	284
451	234	284
452	234	283
453	235	283
454	236	283
455	237	282
456	237	282
457	238	281
458	238	281
459	239	280
460	239	280
461	240	279
462	240	279
463	241	278
464	241	278
465	242	277
466	242	276
467	243	276
468	243	275
469	244	275
470	244	274
471	245	274
472	245	273
473	245	272
474	246	272
475	246	271
476	247	270
477	247	270
478	247	269
479	248	269
480	248	268
481	249	267
482	249	267
483	250	266
484	250	266
485	251	265
486	251	264
487	251	264
488	252	263
489	252	263
490	253	262
491	253	261
492	254	261
493	254	260
494	254	260
495	255	259
496	255	258
497	256	258
498	256	257
499	257	257
500	257	256
501	258	256
502	258	255
503	258	254
504	259	254
505	259	253
506	260	253
507	260	252
508	261	252
509	261	251
510	262	251
511	262	250
512	263	249
513	263	249
514	264	248
515	264	248
516	265	247
517	265	247
518	266	246
519	266	246
520	266	245
521	267	244
522	267	244
523	268	243
524	268	243
525	269	242
526	269	242
527	270	241
528	270	241
529	271	240
530	272	240
531	272	240
532	273	239
533	273	238
534	274	238
535	274	237
536	275	237
537	275	236
538	276	236
539	276	235
540	277	235
541	277	234
542	278	234
543	278	233
544	279	233
545	279	232
546	280	232
547	280	231
548	281	231
549	281	230
550	282	230
551	282	229
552	283	229
553	283	228
554	284	228
555	284	227
556	285	226
557	285	226
558	286	225
559	286	225
560	287	224
561	287	224
562	288	223
563	288	223
564	288	222
565	290	222
566	290	222
567	291	221
568	291	220
569	292	220
570	292	219
571	293	219
572	293	218
573	294	218
574	294	217
575	295	217
576	295	216
577	296	216
578	296	215
579	297	215
580	297	214
581	297	214
582	299	213
583	299	213
584	300	212
585	300	212
586	301	211
587	301	211
588	302	210
589	302	210
590	303	209
591	303	209
592	304	208
593	304	208
594	305	207
595	305	207
596	306	206
597	306	206
598	306	205
599	307	204
600	307	204
601	308	203
602	308	203
603	309	202
604	309	202
605	310	201
606	310	201
607	311	200
608	311	200
609	312	199
610	312	198
611	312	198
612	313	197
613	313	197
614	314	196
615	314	196
616	315	195
617	315	195
618	316	194
619	316	194
620	317	193
621	317	193
622	318	192
623	318	192
624	319	191
625	319	190
626	320	190
627	320	189
628	321	189
629	321	188
630	322	188
631	322	187
632	323	187
633	323	186
634	323	186
635	324	185
636	324	185
637	325	184
638	325	184
639	326	183
640	326	183
641	327	182
642	328	182
643	329	181
644	329	181
645	330	180
646	330	180
647	331	179
648	331	179
649	332	178
650	332	178
651	333	177
652	333	177
653	333	176
654	334	176
655	334	175
656	335	175
657	335	174
658	336	173
659	336	173
660	337	172
661	337	172
662	338	171
663	339	171
664	339	171
665	340	170
666	340	170
667	341	169
668	341	168
669	342	168
670	342	167
671	342	167
672	343	166
673	343	166
674	344	165
675	344	165
676	345	164
677	345	164
678	346	163
679	346	163
680	347	162
681	348	162
682	348	161
683	349	161
684	349	160
685	350	160
686	350	159
687	351	159
688	351	158
689	351	158
690	352	157
691	352	157
692	353	156
693	353	156
694	354	155
695	354	154
696	355	154
697	355	153
698	356	153
699	356	152
700	357	152
701	357	151
702	358	151
703	358	150
704	359	150
705	359	149
706	360	149
707	360	148
708	361	148
709	361	147
710	362	147
711	362	146
712	363	146
713	363	145
714	364	145
715	364	144
716	365	144
717	365	143
718	365	143
719	366	142
720	366	141
721	368	141
722	368	141
723	369	140
724	369	140
725	370	139
726	370	139
727	371	138
728	371	138
729	372	137
730	372	137
731	373	136
732	373	136
733	373	135
734	374	134
735	374	134
736	375	134
737	376	133
738	376	133
739	377	132
740	377	132
741	378	131
742	378	130
743	379	130
744	379	129
745	380	129
746	380	128
747	380	128
748	381	127
749	381	127
750	382	126
751	382	126
752	383	125
753	383	125
754	384	124
