iter	Passed	Remaining
0	0	707
1	1	522
2	1	512
3	2	508
4	2	494
5	3	499
6	4	591
7	4	574
8	5	561
9	5	563
10	6	549
11	6	545
12	7	544
13	7	543
14	8	536
15	8	538
16	9	534
17	9	531
18	10	528
19	10	527
20	11	526
21	11	520
22	12	548
23	13	547
24	13	543
25	14	541
26	14	539
27	16	559
28	16	556
29	17	552
30	17	548
31	18	544
32	18	541
33	18	538
34	19	534
35	19	532
36	20	533
37	21	533
38	21	531
39	22	532
40	23	546
41	23	545
42	24	543
43	24	540
44	25	537
45	25	537
46	26	537
47	26	535
48	27	533
49	28	534
50	28	532
51	29	531
52	29	529
53	30	528
54	30	527
55	31	525
56	31	524
57	32	522
58	32	520
59	33	518
60	33	516
61	34	514
62	34	512
63	34	511
64	35	509
65	35	508
66	36	508
67	37	507
68	37	507
69	38	506
70	38	505
71	39	506
72	39	505
73	41	513
74	41	512
75	42	512
76	42	510
77	43	517
78	44	516
79	44	515
80	46	523
81	46	522
82	47	521
83	47	521
84	48	519
85	48	518
86	49	519
87	49	517
88	50	516
89	50	514
90	51	512
91	51	511
92	52	510
93	52	508
94	53	508
95	53	507
96	54	506
97	54	505
98	55	505
99	55	503
100	56	502
101	57	502
102	57	501
103	58	505
104	59	504
105	59	503
106	60	502
107	61	507
108	61	506
109	62	505
110	63	504
111	63	503
112	63	501
113	64	499
114	65	503
115	66	503
116	66	502
117	67	501
118	67	500
119	68	498
120	68	498
121	69	497
122	69	496
123	70	500
124	71	499
125	71	498
126	73	502
127	73	501
128	74	499
129	74	499
130	75	498
131	75	497
132	77	502
133	77	500
134	77	499
135	78	498
136	79	502
137	80	501
138	80	499
139	81	498
140	81	497
141	82	495
142	82	494
143	83	493
144	83	492
145	83	491
146	84	489
147	84	488
148	85	487
149	85	486
150	87	489
151	87	488
152	88	487
153	88	487
154	89	490
155	90	489
156	90	488
157	91	487
158	92	486
159	92	485
160	92	484
161	93	483
162	93	482
163	94	481
164	95	481
165	95	480
166	96	479
167	96	478
168	97	477
169	98	480
170	99	482
171	99	481
172	100	480
173	101	479
174	101	478
175	102	480
176	103	480
177	103	478
178	104	478
179	104	477
180	105	475
181	105	476
182	106	475
183	107	474
184	107	474
185	108	473
186	108	473
187	109	471
188	109	470
189	110	470
190	110	469
191	111	468
192	111	467
193	112	466
194	112	465
195	113	464
196	113	463
197	114	462
198	114	462
199	115	461
200	115	460
201	116	459
202	117	459
203	117	458
204	118	457
205	118	456
206	119	455
207	119	454
208	119	453
209	120	452
210	121	454
211	122	454
212	122	453
213	123	452
214	124	454
215	124	453
216	125	452
217	125	451
218	126	451
219	127	452
220	128	451
221	128	450
222	129	450
223	129	449
224	130	448
225	131	450
226	131	449
227	132	448
228	132	447
229	133	446
230	133	445
231	134	445
232	135	444
233	135	443
234	136	442
235	136	441
236	136	440
